Char_Name;Name_Jap;Name_Nick;Char_Data
von Oberstein, Paul;Paul von Oberstein (パウル・フォン・オーベルシュタイン);Paul  von Oberstein;"
Paul von Oberstein is a captain serving as chief of staff in fortress Iserlohn of the Galactic Empire. He was born blind and has to wear artificial eyes to see. He has nothing but contempt for his incompetent commander and despises the high nobles, realizing fully well the decadence of the Goldenbaum dynasty and how ignorant they are of the common people's plight. If he himself had been born a few years earlier, when the ""inferior genes exclusion law"" was still in effect, he would have been discarded as dangerous to the species. Because of that and realizing Reinhard's abilities, he wants to join his camp.

Oberstein is a genius strategist and organizer, both in war and politics. Calm and composed, he never shows any sign of emotional distress, everything he says and does is part of a well thought, reasonable plan."
Kircheis, Siegfried;Siegfried Kircheis (ジークフリード・キルヒアイス);Siegfried  Kircheis;"
Birth date: January 14, 467 R.C. (776 U.C.)

Siegfried Kircheis is a young captain serving in Reinhard's fleet, as well as his best friend.

Born a commoner, Kircheis first met the future Reinhard von Lohengramm when they both were about ten years old. Reinhard's family had just moved in the house next door, after introducing themselves to each other, Reinhard declared that Siegfried was a very common name and from then on he would call him Kircheis which sounded better, the two immediately stroke up a friendship that was to last for life.

When the emperor took Reinhard's sister to be his concubine, Annerose asked Kircheis, who had an innocent crush on her, to promise that he will always be by her brother's side. Kircheis kept his promise, he followed Reinhard in the military and together they rose through the ranks facing many trials, eventually Reinhard was made a count and was awarded the command of a fleet, opening their road to power.

Kircheis is an excellent tactician, often able to discern and even predict Reinhard's elaborate battle plans. A kind person and a dedicated friend to Reinhard, he is always by his side, and goes on the fight alongside him in his red colored battleship Barbarossa. He often acts as a restraint for Reinhard's ambition as well as his wrath when his arrogance gets the better of him. He believes both in Reinhard's abilities and the righteousness of his intentions and his only goal is to help Reinhard fulfill his destiny."
Mittermeyer, Wolfgang;Wolfgang Mittermeyer (ウォルフガング・ミッターマイヤー);"Wolfgang ""Gale Wolf"" Mittermeyer";"
Wolfgang Mittermeyer is a rear admiral serving in Reinhard's fleet and, along with Oskar von Reuenthal, Reinhard's ablest field commander.

Mittermeyer is a commoner, born to a middle-class family. He first met Reuenthal while stationed in fortress Iserlohn, early in his career, and the two became close friends. Kind and caring, Mittermeyer has been a stabilizing factor for Reuenthal's self-destructive tendencies ever since. A family man at heart Mittermeyer soon married his childhood sweetheart Evangeline and became a dedicated husband, but their efforts to have children have been fruitless thus far. Unfortunately for him, his lowly pedigree was about to cause him serious trouble.

Mittermeyer ordered the execution of one of his subordinates for assaulting, robbing and murdering a civilian woman. Although his decision was just, he turned out to belong to a powerful noble family and Mittermeyer was soon arrested. While the nobles plotted his death, desperate to save his only friend Reuenthal met with Reinhard von Müsel (later Lohengramm) and offered his and Mittermeyer's loyalty to him, in exchange for aid in saving Mittermeyer from the nobility and clearing his name. Reinhard, who had his own well-known issues with the nobles, readily accepted and both of them were transferred under his command.

Nicknamed ""the gale wolf,"" Mittermeyer is renowned for his boldness in warfare, his lightning responses to changing factors in the battlefield, as well as his ability to cover huge distances in a relatively short time, while keeping his fleet organized from his flagship Beowulf. Under Reinhard's command, he receives the flagship Beowulf. Mittermeyer is an able strategist and a brilliant tactician, one of the very best of his era. He is composed, just with his subordinates and fiercely loyal to Reinhard, not only for saving his life, but also because he honestly respects his abilities."
"von Sch&ouml;nkopf, Walter";Walter von Schönkopf (ワルター・フォン・シェーンコップ);"Walter ""Walter von Schenkopp"" von Schönkopf";"
Commander of the Rosenritters, a brigade composed of former Imperial citizens who have defected or escaped to the Alliance. They are known for their skill and brutality in battle, but are mistrusted for their Imperial ties."
Minci, Julian;Julian Minci (ユリアン・ミンツ);Julian  Minci;"
Birthdate: March 26, 782 U.C.

Julian Minci is the son of a soldier who served in the Alliance's army, he lost his mother at a very young age and, some years later, his father was killed in battle leaving him a war-orphan. As such Julian was admitted in the wartime welfare program and, through the mediation of vice admiral Alex Cazellnu, he was made Yang Wenli's ward.

Julian is a very intelligent and responsible boy with a knack for house chores and is the one who takes care of the domestically incompetent Yang, so much so that their friends often wonder who amongst the two is the real guardian and who the ward. Julian loves Yang and deeply respects him, both for his kindness and his well-defined philosophy on life.

Yang wants a peaceful life for Julian, but, much to his disappointment, Julian's dream is to follow in his and his father's footsteps and become a soldier."
von Mariendorf, Hildegard;Hildegard von Mariendorf (ヒルデガルド・フォン・マリーンドルフ);"Hildegard ""Hilda"" von Mariendorf";"
Birthdate: 468 R.C. (777 U.C.)

Hildegard von Mariendorf is one of the principal characters in the series. She served as the New Galactic Fleet's Chief Advisor
She later reigned with Reinhard von Lohengramm when she became his wife and Empress in U.C. 801.

Hildegard, usually referred to by the nickname Hilda, was born in Galactic year 777 into an distinguished noble family of the Goldenbaum dynasty, the sole daughter of the benevolent and just Count Franz von Mariendorf. From an early age, she was distinguished from the other girls of the aristocrat society by her independent ideas. Completely unconcerned, Hilda pursued her own interests in reading, politics and history. Her mother having died when Hilda was young, her open-minded father respected Hilda's unique ideas and choices in life.

In U.C. 797, the old galactic empire spilt into civil war, where the old nobility stood against the new emerging camp of military elites lead by Reinhard von Lohengramm. Hilda convinced her father to plea allegiance to the latter, whereupon she met Reinhard for the first time and impressed him with the clarity of her insight. When the Lohengramm camp emerged victorious from the civil war, Reinhard gained complete political and military power in the empire, and Hilda became Reinhard's chief secretary and assisted him in the progressive reforms that swept across the empire.

From U.C. 798 to U.C. 800, Hilda played an active role on the galactic stage, advising Reinhard wisely on imperial policies and tactics, and became one of his most valued and trusted staff. During Operation Ragnarök, where the empire battled the Alliance, Hilda served as a staff officer and became the first female to board the Flagship Brünhild.
During the critical battle of Vermillion, she perceived that the situation was in Reinhard's disfavour, and persuaded Generals Mittermeyer and Reuentahl to mobilize forces against the Alliance capital, turning the war to Reinhard's tactical victory and saving his life. General Mittermeyer later praised Hilda that ""her intelligence is worth more than a fleet."" Her role gradually became more public after Reinhard's coronation as the first Emperor of the new Lohengramm Dynasty. In the year U.C. 800, in the Ninth Battle of Iserlohn, Hilda succeeded General Steinmetz to become the Fleet's Chief Advisor, formally capable of representing the Emperor and command on his behalf on the battlefield. Conscious of her military position, Hilda withheld her political role and refused to advise Reinhard on political matters, despite his repeated requests for her counsel. In August of U.C. 800, Reinhard was attacked by an assassin who sought vengeance for Reinhard's inaction in the Westland tragedy. Overcame with regret and emotional agony, Reinhard withdrew into his own quarters and Hilda entered to console him. Subconsciously realizing that his reliance on her has deepened past their professional relationship, he asked her to stay, and she agreed, determined to help him to the best of her abilities. The morning after, Reinhard came to Hilda's home and proposed marriage, and Hilda did not immediately reply for the uncertainty whether she can truly give him happiness. She also did not reveal her pregnancy to him until after the Urvashi affair and Reuentahl's subsequent rebellion, which deepened the insight of both Hilda and Reinhard toward their own feelings. When peace was restored, Hilda accepted Reinhard's second proposal, and they were married on January 19, U.C. 801. The officials of the empire greeted their new Empress with enthusiasm and joy. On May the 14th, while Reinhard was away at war, Hilda give birth to a son, whom Reinhard named Alexander Siegfried von Lohengramm. Reinhard's illness seriously exacerbated a mere sixteen days later and was diagnosed with a rare form mutative connective tissue disease, with no know cure. Despite the illness, Reinhard decided to return to the imperial capital for the sake of the people awaiting him there. On July the 18th, Reinhard and Hilda were re-united. On July the 26th, the dying Reinhard said his final words to Hilda: ""My Empress, you shall rule the universe more wisely than I. If you think setting up a constitution is the better way then so be it. The universe would be fine as long as the strongest and wisest among all the living governs it. If Alexander Seigfried lacks that ability, there is no need for Lohengramm dynasty to continue. Do everything as you wish; that is my greatest wish..."" He died at the age of twenty-five, with their son succeeding him and Hilda ruling as the Empress dowager. She was remembered by later historians as the person who nurtured the Lohengramm Empire to maturity."
Attenborough, Dusty;Dusty Attenborough (ダスティ・アッテンボロー);Dusty  Attenborough;"
Age: 28
Birthdate: November 23rd, 769 UC
Rank: Commander, later Commodore
Occupation: Advisor, later Squadron Commander
Group Affiliation: Free Planets Alliance
Base of Operations: Flagship Patoroklos (2nd Fleet); Battleship Triglav (13th Fleet)
Marital Status: Single
Known Relatives: Patrick (father)
First Appearance: MOVIE ""My Conquest is the Sea of Stars"" (as Commander), Book 2: ""Ambition"" (Novels)
Hair: Blue/Black (Golden Wings OAV: Blond)
History: Dusty first met Yang Wen-Li at the military academy in 785UC, and they have been friends ever since.

First Lieutenant Dusty Attenborough began a distinguished military career during the 5th Battle of Iserlohn in 792 UC. Later, after being promoted to Commander, he participated in the 6th Battle of Iserlohn as captain of the Alliance destroyer ""Elm 3"" in 794 UC. In 795 UC he was assigned to the 2nd Fleet flagship Patoroklos as gunnery officer. Dusty has learned quite a bit from his friend and has proven himself to be an able commander. Also appears briefly in the OAV ""Golden Wings"".

Dusty Attenborough and Olivier Poplan coin the phrase ""foppery and whim"" to describe the Yang Fleet's motivations in the face of incredible odds stacked against them."
Sakata, Gintoki;Gintoki Sakata (坂田 銀時);"Gintoki ""Yorozuya, Shiroyasha, Gin-san, Gin-chan"" Sakata";"
Age: late 20s
Birthday: October 10 (Libra)
Height: 177 cm
Weight: 65 kg
Likes: sweets, alcohol, Shounen Jump, strawberry milk, pachinko
Dislikes: ghosts, horror stuff
Favorite quote:
""Then and now, what I protect has never changed.""
Occupation: Yorozuya/Odd Jobs

Gintoki is a samurai living in an era when samurai are no longer needed. To add to his troubles, oppressive aliens have moved in to invade planet Earth. Gintoki works taking on odd jobs alongside two kids: Kagura and Shinpachi. In the Joui war, he was known as the ""White Devil"" (Shiroyasha) due to his silver hair and white clothing he wore in battle, which, combined with his impressive capabilities as a swordsman, made him famous among his comrades and struck fear in the hearts of the Amanto.

Gintoki has naturally permed silver hair, which he blames for his lacking love-life. He has a big crush on the TV's news weather girl, Ketsuno. In fact, to date, the only time he is seen to have blushed is when he tries to make use of Sadaharu and Ketsuno's dog to get a chance to talk to her.(Though he later does with Tsukuyo as well when she discovers him shopping) Though several female characters have shown an interest in Gintoki, he usually does not show any response and merely puts up with them as annoyances.

Gintoki has two major obsessions in life. He is obsessed with sweet food such as parfaits, ice cream and cakes. His second obsession is reading the manga anthology magazine Weekly Shounen Jump. (Which, not coincidentally, is where Gintama is published). Gintoki will go to great lengths to get the latest Jump issue, to the point of reckless behavior. His Jump obsession makes him dream of being like other Jump heroes, including wishing that he had a ""Bankai"" similar to the characters of Bleach.

Despite his appearance and initial behavior, Gintoki has a great amount of pride for the old bushido code. He takes it upon himself to rescue or avenge not only his comrades and friends but also people he's barely acquainted with, be it a pit-fighter who was taking care of abandoned orphans or an Amanto who resembles a kappa.

Despite being a fearsome fighter with nearly unmatched skills, he avoids needless bloodshed after suffering the loss of most of his friends and allies during the Joui war.

(Source: Wikipedia, VS Battles Wikia, edited)"
Kagura;Kagura  (神楽);"Kagura ""Gura, China Girl, Leader, Gurako"" ";"
Age: 14
Birthday: November 3
Zodiac: Scorpio
Height: 155 cm
Weight: 40 kg

Kagura, meaning ""god-entertainment"" is a member of the Yorozuya alongside Sakata Gintoki and Shinpachi Shimura and the main female protagonist of Gintama.

Although she appears to be a normal, cute, human girl in Chinese-style clothing, she actually belongs to the Yato Clan, one of the strongest and most bloodthirsty of the Amanto races. The Yato people are said to have ""transparent"" skin that is highly sensitive to sunlight, so Kagura carries a purple parasol at all times. The parasol is also the Yato clan's weapon of choice; Kagura's is bulletproof and fires bullets from its tip. Because of her Yato blood, she is super-strong and can stop a speeding motor-scooter with one hand. Although stronger than most humans, she cannot control her strength perfectly. Her super-human strength makes her extremely bad with pets. Most of her pets, with the exception of Sadaharu, have met with an untimely demise by her hands.

She is also extremely flexible and fast; capable of catching multiple speeding bullets between her teeth and fingers. During battle, she's often seen flipping through the air and performing various acrobatic feats. Due to her Yato blood, she is capable of rapid regeneration. During the Benizakura arc, she is seen healing from a gunshot wound almost overnight.

Kagura also has an unusually strong appetite. She is able to consume large quantities of food within a matter of seconds. Nevertheless, her tastes are endearingly plain. Sukonbu, rice, and eggs are among her favorite foods.

Her immediate family consists of her father, Umibouzu, a widely recognized alien hunter, her mother, who is deceased, and her older brother Kamui, once presumed missing who is now involved with the space pirates Harusame.

She came to Earth to earn money for her family. She found work fighting for a gang, but when they ordered her to kill her target, she ran away. Not long afterward, she met Gintoki and Shinpachi when Gintoki accidentally ran her down with his scooter. After they helped her to make a clean break from the gang, she intimidated Gintoki into hiring her. She now lives at the Yorozuya and sleeps in Gintoki's closet, like Doraemon.

Kagura and Gintoki share an odd brother-younger sister-like relationship. Together with Shinpachi, the three of them makes for a strange, dysfunctional, yet tightly knit family. Kagura is very protective of Gintoki. Although she herself has gotten into many fights with him, she rarely lets anyone else pick on him. She seems to trust wholeheartedly in Gintoki's ability and strength. Even in sticky situations, she has no doubt that Gin-chan would come and save her. She has a tendency to imitate Gintoki's bad habits (like picking her nose or swearing, hence her unladylike behavior) and would often quote the bad advice he gives her. Some of her lines start with ""Gin-chan says..."" or ""Gin-chan told me...""

Kagura is also somewhat of a tomboy. She is often seen partaking in games with various neighborhood boys. Although her candid manner of speech often causes them to shun her, she doesn't seem to mind. In fact, she has no problem at all with forcing her way into their game. In battle, she has proven to be bull-headed and a sore loser. Like Gintoki, and probably because of his influence, she is not above resorting to petty tricks and manipulation to get the better of her adversary. Unlike many conventional manga heroines, she doesn't display the same consciousness toward decorum, table manners, and physical appearance. Puking, cussing, picking her nose, spitting, fighting, and scratching herself are common behavior for Kagura.

She regards Okita, captain of the Shinsengumi, as a rival. She detests him and appeared to be disgusted when she previously mentioned (about Okita), that ""he definitely likes me,"" but as that hasn't been brought up since, it is uncertain on if it should be considered canon, that he apparently likes her.

Although Kagura usually teases Shinpachi, she deeply cares for him and thinks of him as a brother. She also shows great respect toward his older sister, Shimura Tae, often calling her ""Anego"" (a term gangster women use to show respect).

Her super-human strength makes her extremely bad with pets. Most of her pets, with the exception of Sadaharu (being her 27th pet), have met with an untimely demise by her hands (with the exception of Sadaharu 28,' a beetle killed by Okita). She cuddles with Sadaharu when feeling down. Kagura also seems to be the only one (aside from Ane, Mone, and Komako) who Sadaharu listens to.

According to the OVA, Kagura is the first and only Weekly Shonen Jump girl to vomit on-screen. To date, she has induced herself to vomit on several occasions. She also has an uncanny knack for seeming calm or detached during high-tension situations; in episode 5, she slept through a car-chase. Her appetite knows no bounds, and she is especially fond of sukonbu.

In Japanese, Kagura speaks in a stereotypical dialect that is associated with Chinese immigrants. In the English-translated manga, she punctuates her sentences with yup, uh-huh (aru), nope, and the like.


In the Yoshiwara in Flames arc, Kagura meets her older brother, Kamui who abandoned her because she was weak in his eyes. During the Yoshiwara in Flames arc, Kagura and Shinpachi teamed up against a Yato veteran named Abuto. When Shinpachi was mortally wounded by Abuto, Kagura can no longer hold against her Yato blood and revealed her true inner killing instincts against Abuto. Abuto is easily overwhelmed by Kagura's true power.
In the last Gintama character popularity poll, she came in the 6th place."
Shimura, Shinpachi;Shinpachi Shimura (志村新八);"Shinpachi ""Shin-chan, Shin, Pattsuan, Megane, Pachie, Shintank, Watson, Pasta"" Shimura";"
Birthdate: August 12
Zodiac: Leo
Height: 166 cm
Weight: 55 kg
Age: 16

Shinpachi Shimura works under Gintoki to learn the ways of the samurai. He used to stay at his family's dōjo. However, it seems more like he's just trying to help Gintoki pay the rent than to learn. Shinpachi is the captain of the ""Otsu's Imperial Guard,"" a pop-singer's fan club.

Shinpachi meets Gintoki after Shinpachi was tripped by the ambassador of Planet Chatoran. Gintoki beats up the ambassador and his guards, not to stand up for Shinpachi, but to get revenge for his spilled parfait. Gintoki frames Shinpachi for the crime, which somehow led to him saving Shimura Tae (Otae), Shinpachi's sister, from becoming part of a brothel.

Despite his meek appearance, Shinpachi is a more than competent swordsman of his family's Kakidō-Ryu, the type of swordmanship his dojo teaches.

In the character popularity poll, he was in 8th place.

His name is roughly based on Shinsengumi member Nagakura Shinpachi and comedian Ken Shimura."
Hijikata, Toushirou;Toushirou Hijikata (土方 十四郎);"Toushirou ""Mayora, Demonic Vice-Commander, Toshi, Thorny"" Hijikata";"
Species: human
Gender: male
Birthday: May 5 (Children's Day in Japan)
Zodiac: Taurus
Age: 27
Blood type: A
Height: 177 cm
Weight: 64 kg
Others: right-handed, chain smoker
Affiliations: Shinsengumi

Hijikata is the famed chain smoking, vice commander of the Shinsengumi so named by his subordinates, because of his fearsome demeanor. Purportedly the brains behind the force, he takes his work seriously, and is fiercely loyal to his leader, Isao Kondo.

Hijikata has a reputation as a fearsome leader, earning the nickname of ""demonic vice-commander."" He is also hot-tempered and often speaks of seppuku. However, despite his cold exterior, he does have a more compassionate side. He also has a tendency to cry after watching movies that are not particularly emotional.

Hijikata is obsessed with mayonnaise and thus has the nickname ""Mayora."" He has been known to smother anything he eats under a mountain of mayonnaise, and he carries a number of objects shaped like jars of mayonnaise, such as his cigarette lighter. He was popular with girls until they discovered this obsession.

He enjoys fighting and sees Gintoki as a rival in practically everything he does from drinking contests to rock, paper, scissors ever since being defeated by him in battle. He is in constant danger of being killed by the attempts on his life by Okita. But, despite all this, he sees Okita as one of his close friends, and vice versa.

Before joining Shinsengumi, he used to be a trouble-maker ronin. He enjoys fighting/having a good fight and says he doesn't care how many Amanto buildings get blown up, he only looks forward to having a big battle with the Joui rebels after Shinsengumi has rounded them in 1 fell swoop, in Episode 5.

He also formulated the Kyokuchuu Hatto, the 45 Regulations that form the disciplinary framework for Shinsengumi members, and implements them firmly.

(Source: Gintama Wikia, Wikipedia)"
Okita, Sougo;Sougo Okita (沖田 総悟);"Sougo ""Sou-chan, The Prince of the Planet of Sadists, S King, Bakaiser, Fusako"" Okita";"
Age: 18
Birthdate: July 8
Height: 170 cm
Weight: 58 kg
Occupation: First Division Captain Shinsengumi

Okita is the best swordsman in the Shinsengumi. Personality-wise, he tends to be light-hearted and somewhat childish though his speech is heavily deadpan.

He outwardly displays annoyance and dislike for Hijikata, and continuously tries to harm and humiliate him whenever given the chance.


Losing his parents at a young age, he was raised by his sister, Mitsuba. Thus, although he is sadistic and violent towards other people, Okita absolutely adores his sister and does everything he can to please her. Mitsuba is one of the reasons why Okita hates Hijikata. Okita viewed Hijikata as a rival for his sister's attention. He also greatly dislikes the fact that Hijikata treated Mitsuba coldly, although Mitsuba clearly showed signs of liking Hijikata.
Okita has great affection and fondness for Kondo, who took him under his wings when he was little. He still regards Hijikata as one of his three friends (the other two being Kondo and Gintoki).

He enjoys seeing women fight, finding the ugly looks on their faces as they grab each other being hilarious. He wears a distinctive eye mask when taking a nap during duty, which is a frequent occurrence. At one point, he refers to himself as the best sniper in the Shinsengumi. Although he is a master of kenjutsu, he uses a bazooka more often.

He also regards Kagura as a rival after an unfinished rock-paper-scissors duel during a sakura-blossom party. He states that he'll ""be the only one to defeat her"", and usually calls her ""China"".

In the original Japanese manga he likes to end his sentences in ""~desaa"" and ""~desuzee.""

In Sorachi's original character design, Okita was a female, and wielded an umbrella. This concept was ultimately given to Kagura.

In the second Shounen JUMP character popularity poll, he ranked 2nd place, just below Gintoki.

In volume 12, Okita's age is revealed to be 18. Despite being under Japan's legal drinking age, in Edo, you can drink alcohol from 15.

His name is based on the historical Okita Souji."
Katsura, Kotarou;Kotarou Katsura (桂 小太郎);"Kotarou ""Zura, Fruits Punch Samurai, Zurako, Captain Katsura, Katsuo"" Katsura";"
Age: 20s
Birthday: June 26 (Cancer)
Height: 175 cm
Weight: 56 kg
Blood Type: AB

Katsura is Gintoki's former comrade during the Joi war. Even after the Amanto take-over of Japan, Katsura continues to resist the Amanto, and has amassed a band of followers. His weapon of choice is a metallic grenade. He is a wanted man due to his involvement in terrorist activities against the Bakufu, and is constantly on the run from the Shinsengumi. Although his initial methods were originally more violent in nature (for instance, sending a bomb to an Amanto embassy), Katsura has gradually grown to believe that there are people important to him in Edo, and decides that he no longer wants to destroy the country, but believes there should be a way to change it without causing sacrifices.

Katsura seems to be highly respected by his followers, and has even been called the ""Daybreak of the Joui Faction"" by some. When people believed that Katsura had died during the Benizakura arc, even other terrorist groups tried to avenge his death.
Since he is a wanted man, Katsura is often seen wearing disguises, although his identity is often still easily found out. One example of a disguise he seems to be fond of is a pirate's costume, complete with an eyepatch (with a skull design) over his left eye and a scar on his right cheek, and using this he calls himself 'Space Captain Katsura'.

Katsura seems to possess a rather outdated sense of humour, and sometimes refers to things from a past era, such as when he tried to buy a Famicon when people were queuing up to buy the OwEe (a parody of the Wii). He also seems to have a tendency to make up dramatic stories, which moves others to tears when they hear these stories (except Gintoki).
Katsura sometimes works odd jobs (e.g. in Episode 88), to raise money for his terrorist activities. He claims that his heart has started to be moved by Ikumatsu in episode 39 (chapter 55 equivalent of the manga), and held his subsequent interview in her ramen restaurant.

In the Japanese version, Gintoki often calls him ""Zura."" In the first English volume, Gintoki calls him ""Casserole,"" or ""Cough syrup."" Eventually, the English version changed to Gintoki calling Katsura ""Zura."" In the Japanese version, Katsura indignantly replies ""Not 'Zura'! It's Katsura!"" (and will do so anytime he is called something other than his name). In the English version he replies ""Not Casserole! It's Katsura!"" The Japanese version joke is a pun, since ""Katsura"" can mean wig in Japanese and ""Zura"" is slang for the same thing. The English version is also a wordplay since ""Katsura"" and ""Casserole"" sound somewhat similar in pronunciation. He has the uncanny ability to know when someone has called him something other than Katsura, even in their head. An example being in Episode 25 as a guest to Gintoki's hotpot dinner.

His name is based on the historical Katsura Kogoro."
Hasegawa, Taizou;Taizou Hasegawa (長谷川 泰三);"Taizou ""Madao, Piggy"" Hasegawa";"
Age: 38
Birthday: June 13
Zodiac: Gemini
Height: 179 cm
Weight: 67 kg

Hasegawa used to be an official working for the Bakufu, but after an unfortunate incident with Amanto dignitary Prince Hata, whom he was assigned to serve and protect, his superior asked him to succumb to his shame and commit seppuku, hearing that he ran away from his quarters.

He initially believed that humans should focus on appeasing the Amanto, but after his encounter with Gintoki, his mindset changed, which led to him punching Hata out, thus getting fired. Since then, he has been living a life of somewhat like a loser, getting fired almost every time he gets a new job, mostly due to the unfavourable look his sunglasses and goatee give him.

No matter what, he refuses to remove his sunglasses because it's the only thing he had left to remind him of his successful past. Although he does exchange the sunglasses for a decent pair of half-moon spectacles at one point, he goes back to wearing them after he decides that he is going to live out his life in the best way he can. He is constantly seen working various part-time jobs. He is often referred to as ""Madao,"" short for ""marude damena ossan,"" which roughly translates into ""totally useless middle-aged man.""

He and Gintoki are on good terms with one another and seem to spend most of their free time gambling. He often plays pachinko, but rarely ever wins. After losing his job for the Bakufu, he is seen doing odd jobs from time to time, like running a supermarket for a friend or driving a taxi at one time.

He's currently estranged from his wife Hatsu, because of his jobless lifestyle, however they still keep in touch.

It is revealed in episode 52 that he is 38 years old after he pees his pants."
Tsukuyo;Tsukuyo  (月詠);"Tsukuyo ""Tsukki, The Moon of Yoshiwara, Shinigami Tayuu"" ";"
Birthday: February 9
Height: 170 cm (5' 7"")
Weight: 52 kg (114 lb)

Tsukuyo is a blonde-haired woman with a scar over her forehead and left cheek. One of the better known Hundred Blooms of Yoshiwara, a law enforcement squad of Yoshiwara that consists of all females, deployed by the Night King Hosen. Despite appearing to be a heartless person when approached by Odd Jobs when he arrives to Yoshiwara, throwing a fake kunai to their foreheads, she later becomes friends with them. She has a difficult past being orphaned as a child, only to be picked up and raised by a ruthless and deadly assassin, Jiraia. While the original motive for Jiraia was to instill every bit of despair and tragedy of his own life into Tsukuyo, of who he refers to as his art or perfect creation, Tsukuyo ended up growing attached to what he did not manage to do. That is ""Friends, A Home, and Precious Things To Protect"" as told by Jiraia. Her loyalty and home lies with Hinowa in the underground city of Yoshiwara. She has ties with Hinowa, who also helped raise her like an older sister/mother through her childhood.


It is hinted by Jiraia (in Chapter 255/Episode 178) Hinowa and Seita (in Chapter 294) that she has romantic feelings for Gintoki. This is further supported by her scribbling out statements from Hinowa's and Seita's New Year's cards commenting how lonely she was when they heard Gintoki has gotten married and her inability to give him chocolates for Valentine's Day (in Episode 204). Tsukyo herself has confirmed that, while she doesn't quite know what they are or what to do with them, she has some feelings towards Gintoki. This was in episode 177 when she said to him, ""When I am with you, my resolve weakens. Don't shake up my feelings any further.""
(Source: Wikipedia)"
Takasugi, Shinsuke;Shinsuke Takasugi (高杉晋助);Shinsuke  Takasugi;"
Age: 20s
Birthday: August 10
Zodiac: Leo
Hair: Black (purple highlights)
Eyes: Light Olive Green (bandage over left eye)
Height: 170cm
Weight: 60kg
Occupation: Leader of the Kiheitai
Hobbies: Smoking a pipe, Playing a shamisen

A former comrade of Gintoki and Katsura and a major antagonist. He now leads a radical Joui faction called the Kiheitai and is known amongst the Shinsengumi as 'the most dangerous man in both the Joui faction and amongst the radicals'. He is easily recognizable through his bandaged left eye, his colorful kimono, his eerie smile, and the pipe he is often seen smoking.

He, Gintoki, and Katsura studied in the same temple elementary school when they were children, and he fought with them against the Amanto invasion during the latter part of the Joui war. After the war ended, he vanished, and has since gained a dangerous reputation due to his assassination of many of the Bakufu's main officers and his planning of a large-scale coup d'etat. Before his first appearance in both the anime and the manga, he was mentioned to have fled Edo and to have been hiding in Kyoto, although it is unclear how long before this was.

He now believes that the only way to save it is to destroy the ""rotten"" post-Joui war world.

He is shown to like festivals, although this is mainly due to the opportunity they provide for a large-scale terrorist attack: he appears to have an attraction to ruin that is almost nihilistic. He also appears to have considerable insight due to his 'seeing through Itou's heart' and subsequently planting him in the Shinsengumi's ranks.

It can be assumed that he is as skilled a swordsman as both Gintoki and Katsura, having fought alongside them as one of the 'heroes' of the Joui war. That aside, he appears to have at least considerable skill in playing the shamisen, and is shown at one point playing it with Bansai as they talk.

He is based on the historical Takasugi Shinsaku."
Fujisaki, Yuusuke;Yuusuke Fujisaki (藤崎 佑助);"Yuusuke ""Bossun, Boss-o, Ouji, Samurai-san, Leader, Bosuko, Borsalino, Bo-san, Milk, Bosshuton"" Fujisaki";"
Age:
16; 17

Birthday:
November 11, 1992 (manga), 1994 (anime)

Gender:
Male

Blood Type:
AB

Height:
171 cm

Weight:
57 kg

Hair:
Black

School:
Kaimei High School

Class:
2-C; 3-C

Affiliation:
Sket Dan

Special Attack:
Fujisaki Valencia

The founder and leader of the Sket-dan, nicknamed Bossun (ボッスン). When he puts on his goggles he is able to be in full concentration and saves the day. When talking about his special traits, the sket-dan tends to break the fourth wall, saying how he has nothing unique for a shounen main character. He is an amazing artist and has a bunch of expressions that are easy to read.

He is determined to help his clients and will do it to the best of his abilities. Whenever the sket-dan realizes that Bossun isn't needed he goes into a lazy, depressed state.


Yuusuke's parents both died in separate accidents before he was born.

Yuusuke is Sasuke Tsubaki's twin brother."
Zoldyck, Killua;Killua Zoldyck (キルア=ゾルディック);"Killua ""Kil"" Zoldyck";"
Age: 12 (beginning); 14-15 (current)
Birthday: June 15 (1999), July 7 (2011)
Height: 158 cm
Weight: 49 kg
Eye color: deep teal (1999), royal blue (2011)
Blood type: A
Occupation: ex-assassin, hunter
Nen type: Transmutation

Killua is a member of the Zoldyck family, who are a family of legendary assassins. Since birth, he trained endlessly in the art of assassination. He eventually ran away from his family and profession out of boredom and joined the Hunter exam to pass the time. He befriended Gon almost immediately and has loyally followed his best friend since then.

Killua is usually a kind-hearted and cheerful, cheeky boy, but if provoked, he becomes extremely deadly and bloodthirsty, able to kill an enemy in seconds.

He is confident and aware of his abilities and strengths, and not afraid to speak his mind, but also smart enough to know when to hold his tongue. He can get embarrassed easily when someone compliments him or openly shows affection towards him.

He is very intelligent and quick-thinking, and skilled in analysis, particularly induction. He is able to calmly and rapidly form strategies to adapt to stressful situations.

Due to his training as an assassin, it's an ingrained habit of his to be extremely cautious when approaching a fight, often assuming the worst case scenario, so he is quicker to flee than to try to face an apparently stronger opponent. For most of the series, this is his greatest flaw. He is also a loyal friend who is selfless to a fault, and suffers greatly trying to help his friends without a single thought to his own health.

He is also from the transmutation Nen group. He constantly strives to improve his Nen ability, developing many interesting techniques as time moves on.

He is also the third person to have a transmutation Nen as his father and grandfather also are transmutation Nen users. Coincidentally, all three family members have silver hair."
