Char_Name;Name_Jap;Name_Nick;Char_Data
Nanjou, Sachi;Sachi Nanjou (南条 幸);Sachi  Nanjou;"
Sachi is a young woman pursuing a career as a manga artist. She befriends Onodera Punpun and serves an important role in his life. She has realistic views on things and isn't afraid to speak out, but most people think she is just a rude person."
Seki, Masumi;Masumi Seki (関 真澄);Masumi  Seki;"
A runaway child who misunderstood freedom.

Masumi Seki is one of Punpun's childhood friends and is best friends with Shimizu. He has a rough personality and usually has a cool, indifferent expression even when upset. There is a permanent scar above the tip of his nose that is covered by a bandaid for most of elementary school. His family owns Seki Lunches, which used to do business with the now-abandoned miso factory.


Seki begins smoking cigarettes in elementary school. After he and his friends explore the old miso factory, his dropped cigarette causes an explosion while Shimizu is still inside. This instance traumatizes Seki, causing a deep phobia of fire. He faces his fear of fire when Shimizu again is caught in an exploding building with the Pegasus Ensemble, and Seki breaks inside to rescue him. In the epilogue, he is even shown smoking a cigarette."
Onodera, Yuuichi;Yuuichi Onodera (小野寺 雄一);Yuuichi  Onodera;"
Punpun's uncle who is a 30-something freeter. He was previously a ceramics teacher, but he quit his job due to a certain incident. He looks after Punpun after Punpun's parents divorce.

Women of all ages find him very attractive. He is bad at resisting the charms of beautiful women which leads him to several serious troubles in his life. Because of that, he finds humans to be ugly and detestable creatures and prefers to keep contact with other people to the minimum."
God;God  (神様);God  ;"
Appears after Punpun says a special chant his uncle taught him. He helps Punpun with his problems. His ""help"" is rarely helpful, to say the least.


As the manga keeps going, it's revealed that ""God"" is really the manifestation of Punpun's darker thoughts."
Shimizu, Kou;Kou Shimizu (清水);"Kou ""Shimi, Freezie"" Shimizu";"
A weird friend of Punpun and best friends with Seki. He's not so independent and has a wild imagination. His nose seems to be running all the time.


The cause of his wild imagination and inability to be independent came from trauma of losing his mother in traffic accident while he was still in elementary school."
Hoshikawa, Toshiki;Toshiki Hoshikawa (星川 俊樹);"Toshiki ""Pegasus"" Hoshikawa";"
Leader of the ''Good Vibrations'' cult. He is a younger son of a wealthy religious fanatic. His father is the founder of the Cosmos Health Center.

He is a self-claimed prophet, although his predictions always came true. He says that everything that has happened and will happen in the universe had been engraved as musical scales onto the surface of a giant cylinder called ""Akashic records,"" a music box of infinite proportions which is the shape of our universe. But this box is singing an unstable tune and on July 7, the violent dissonance will cause the destruction of this world, the so-called ""Promised Despair."" He is assembling a group of twelve people who would help him to sing a tune of a song ""Tsubasa wo Kudasai"" in order to harmonize that instability and save the world."
Punyama, Mother;Mother Punyama (プン山 プンプン ママ);Mother  Punyama;"
Punpun's mom.


Throughout the series, she is constantly shown acting very coldly toward Punpun, and it is later revealed that she blames Punpun for all of the hardships in her life. After being hospitalized for Pneumothorax, she is determined to be a better mother, but can't stop her usual habit of speaking harshly toward her son. In chapter 67, it is revealed that she has cancer and very little time to live; her final words to Punpun is her apology for being a terrible mother, and the admittance that she truly loved him."
Yaguchi, Takao;Takao Yaguchi (矢口);Takao  Yaguchi;"
After Punpun breaks up with Aiko, Aiko asks Yaguchi to be her boyfriend; however, their relationship appears as quite uncomfortable. Yaguchi plays for his school's badminton team, but an injury prevents him from reaching his full potential."
Monkey D., Luffy;Luffy Monkey D. (モンキー・D・ルフィ);"Luffy ""Mugiwara, Straw Hat, Lucy"" Monkey D.";"
Name: Monkey D. Luffy
Age: 17; 19
Birthdate: May 5, Taurus
Height: 172 cm; 174 cm
Blood Type: F
Affiliation: Straw Hat Pirates
Position: Captain
Devil Fruit: Gomu Gomu no Mi (Gum Gum Fruit)
Type: Paramecia
Bounty:
500,000,000 (previously; 30,000,000, 100,000,000, 300,000,000, and 400,000,000)

Luffy is the captain of the Straw Hat Pirates and is best friends with all of them and values them over all else. At first glance, Luffy does not appear to be very intelligent, often seeing things in childish manner and can easily be amazed by the simplest things. However, because he views the world in a straightforward and simple manner, he is occasionally the only person who can see past the events and see what should be done.

Luffy seems to have an unstoppable appetite, a characteristic that is common to the Japanese archetype of the (at times simple-minded) young male hero/adventurer with a heart of gold; perhaps the hunger more so in Luffy's case due to having an elastic stomach. Luffy is also another one of the several characters given the middle initial ""D.""

Although Luffy is fairly lightheaded and a funny character, he has an unstoppable sense of determination, optimism and commitment and will do anything to stand up for his friends and comrades. Along with that, he has great courage to back it up as well as unbelievable strength. Ever since consuming the devil fruit he was shown to be not worried about his inability to swim, much like his brother. Much of these traits are common among D's. His only display of true fear is towards his grandfather, to the point that he is intimidated at the mere mention of him.

Luffy never kills any of his enemies, no matter how cold-hearted they are; instead, he frequently sends the villain flying, knocking them out or beating them to a point that they are almost near death, which results in some of the villains searching for revenge, such as Buggy the Clown and Alvida. Oda explains that it's not a question of morality so much as a matter of punishing the villains for their crimes - he feels that killing the villains lets them off too lightly, whereas he considers letting them live to see their dreams be ruined a far more fitting punishment.

Luffy's dream is to find the One Piece and become Pirate King. He knows that to achieve his goal, he will have to defeat many strong opponents, including the World Government and his childhood hero Shanks.


Monkey D. Luffy is the son of Monkey D. Dragon, the leader of the Revolutionary Army and the world's most wanted criminal. His grandfather is ""The Hero of The Marines"", Vice Admiral Monkey D. Garp. Before the start of the series, Dragon left Luffy in Garp's care. Dragon first appears after a lightning bolt suddenly destroys the gallows where Luffy was to be executed by Buggy the Clown and then saves Luffy from being captured by Captain Smoker. When he saved Luffy from Smoker, a mighty gust of eerie wind swept through Loguetown. It is undetermined whether or not he was the cause behind the gust of wind or the lightning; however, the story leads to believe there is more to him than it seems. Recently, he has taken over an island in the South Blue and is about to head to the North Blue when he commented, after noticing Luffy's newest bounty, given to him after invading Enies Lobby, that father and son will meet sometime soon.
"
Roronoa, Zoro;Zoro Roronoa (ロロノア・ゾロ);"Zoro ""Pirate Hunter, Marimo"" Roronoa";"
Name: Roronoa Zoro
Age: 19; 21
Birthdate: November 11, Scorpio
Height: 178 cm (5'10"") , 181 (5'11"") (after timeskip)
Affiliation: Straw Hat Pirates
Position: Swordsman
Devil Fruit: None
Bounty:
320,000,000 (previously: 60,000,000 and 120,000,000)

Zoro was the first crew member to be recruited by Luffy. Zoro is a skilled swordsman who fights with his own unique sword style known as santoryu (three katana fighting style).This is achieved by using one katana in each hand and another in his mouth. He is also seen fighting with only one or two swords. When in a serious fight he ties his bandana, normally tied on the arm, on his head.

Though not a samurai, he appears to maintain a certain degree of bushido, and is frequently mistaken for one. Unlike Luffy and most of the other Straw Hat pirates, Zoro has been known to kill his opponents if he has to, though never in cold blood.

Zoro has a stern, serious and distanced personality, but, unlike Robin, he often reacts in a goofy and exaggerated comic style due to his gruff, impatient attitude. On the ship, he normally either trains with weights or sleeps. The only work he is seen doing regularly is hoisting the anchor using his great strength. He also likes sake, almost to the degree that Luffy likes meat, but like Nami, he never gets drunk due to his inhumanly-high endurance and tolerance for alcohol. Another notable trait is his lack of orientation, as Zoro often gets lost, even in small, familiar spaces or when being led by someone. Despite this, he is often the first to sense an enemy or danger, and the first to react. He is often displayed being well aware of dangerous situations and people around him.

Zoro often also reminds others of the harsh facts, which often shocks some of the other crew members, although they usually decide he is right. Zoro has also stated that he is an atheist, and has never believed in anything except himself. He often comes across as arrogant and overconfident, but only because he knows he's a strong man with great fighting ability. Even so, Zoro knows that he still has a lot of untapped potential, and is constantly seen training and trying to improve his fighting skills. He also adheres to a strict sword master's code of honor, and never falsely brags or lies about his abilities, sometimes outright admitting a weakness, even to an enemy. He also never tries to escape from a fight or use trickery to win, believing that doing so is cowardly and scorning anyone who uses such tactics. Zoro is very vigorous, strong-willed, and determined."
Sanji;Sanji  (サンジ);"Sanji ""Black Leg, Mr. Prince"" ";"
Age: 19→21
Birthdate: March 2
Zodiac: Pisces
Height: 177 cm (5' 9"")
Blood type: RH-
Affiliation: Straw Hat Pirates (previously; Baratie)
Position: Cook
Devil Fruit: none
Bounty:
177,000,000 (previously: 77,000,000)
Sanji is the chain-smoking chef of the Straw Hat Pirate Crew. He has superb fighting skills that only make use of his legs, in an effort to minimize damage to his hands which would impair his cooking skills.
Except a single fight where he uses knives against a fellow chef.
Sanji uses an array of powerful and varied kicking moves when he fights. His cooking skills are world class, and he was mentored in both cooking and fighting by Chef ""Red Leg"" Zeff of the Baratie. He was born in the North Blue, but grew up in the East Blue.

Sanji is trash-talking and serious, and usually gruff and impatient, especially around men. This is contrasted by his ""love-cook"" side, as he is very amorous around women. Sanji is completely devoted to any beautiful woman, usually losing all common sense and composure in front of them, then attempting to comically swoon them. This behavior has earned him the nickname ""ero-cook,"" or perverted cook. He can also be very chivalrous and gentlemanly around woman, volunteering to help them in various tasks and situations, whether they need help or not. He has sworn to never let insult or injury happen to any woman while he can still stand, even if that woman is trying to kill him. This is often problematic in his fighting as he can't attack female opponents, and would rather die than hurt them. All this is apparently the result of a ""strict upbringing."" To contradict his gentlemanly behavior, Sanji also enjoys seeing women wear skimpy clothing, and can be a voyeur.

His goal in life is to find the All Blue, a legendary ocean, which contains all the fish in the world. As such, it would be paradise for any cook with as much love for his work as Sanji, who holds great respect for the tools, ingredients, and art of cooking. So great is his devotion to his calling, that Sanji will not let any person or creature starve, regardless of them being friend or foe.

Being the crew's chef, he looks out for the health of his crewmates. Sanji respects Luffy as a captain, but often gets angry at him for eating too much, showing disrespect for the aesthetics of cooking, and generally being daft and irresponsible. He is constantly in petty fights with Zoro (sometimes calling him Marimo) over each others' traits and they have developed a rivalry, but have managed to make a devastating team together. He is very protective of the female crew members and Nami likes to take advantage of him, exploiting his extreme servility. Sanji originally wanted to cook Chopper, but has come to respect him as a crew member and friend. He's also good friends with Usopp; they team up and interact often, and Sanji understands him quite well. In short, he cares as much for the crew as any Straw Hat should, but unlike Zoro, Sanji shows these feelings more.


It is revealed that Sanji is the third son of the Vinsmokes, a family of killers. His father and one of the Yonkou, Big Mom, has arranged a marriage between him and the 35th daughter of the Charlotte family, Pudding."
Nico, Robin;Robin Nico (ニコ・ロビン);"Robin ""Devil Child, Miss All Sunday"" Nico";"
Age: 28; 30
Birthdate: February 6, Aquarius
Height: 188cm (6'2"")
Sizes: 99 - 59 - 89
Affiliation: Straw Hat Pirates (previously; Baroque Works)
Position: Archaeologist
Devil Fruit: Hana Hana no Mi (Flower Flower Fruit)
Type: Paramecia
Bounty:
130,000,000 (previously: 79,000,000; 80,000,000)
Robin is the seventh member of Straw Hat's Crew. She had a bounty of 79 million beri (One Piece currency) since she was eight years old, during an incident in which she supposedly destroyed six Buster Call ships through the use of the powers she gained by the eating the Hana Hana no Mi (Flower Flower or Blooming Blooming Fruit). The fruit's power enables her to conjure up multiple replicas of her body parts (most often her arms) upon any surface she is able to see making her very powerful and dexterous as a result.

Robin joined the Straw Hat Pirates after Luffy saved her life, or (how she states it) Luffy forced her to live when she wanted to die. To atone for his crime, Robin demands that Luffy allow her to join his crew, to which he complies leaving every other crew member except Sanji in shock. Although feared at first, she is quickly accepted and viewed as a comrade by the crew.

Robin is actually an archaeologist of talent, and despises anyone who thoughtlessly damages any piece of history. The World Government fears her because she can decipher Poneglyphs (stones marked with glyphs from an ancient language), which contain details capable of reviving ancient weapons that have the power to destroy the world. In reality, Robin has stated that she does not care about ancient weapons, and that her dream is to find the True History written on the Rio Poneglyph.

Robin is a mysterious and serious person who appears quiet and reclusive, and the wisest in the Straw Hat's Crew. She was thought by those around her to be cold and mean, but it was proven that she is actually a kind person who always thinks before she acts. She often only speaks when something interesting or important has happened. She loves to study history, and the comfort and freedom to study and read. She is also quick to point out gross or realistically morbid facts, often creeping out Nami or Usopp. Robin is the wisest and most sensible member of the crew. She has a vast knowledge of the seas and the world, and usually keeps her head during surprising situations, allowing her to logically analyze the situation without losing her cool. This trait makes her different from the other Straw Hats, who often comically react melodramatically to unexpected happenings and hold irrational ideas and conclusions. Despite her attempts to keep herself distant, Robin has fallen for her new friends, and has taken the role of the distant den mother."
Tony Tony, Chopper;Chopper Tony Tony (トニートニー・チョッパー);Chopper  Tony Tony;"
Age: 15, 17
Birthday: December 24
Zodiac sign: Capricorn
Affliation: Straw Hat Pirates
Position: Doctor
Devil Fruit: Hito Hito no Mi (Human Human Fruit)
Type: Zoan
Bounty:
100 (previously: 50)
He is the Straw Hat crew's general physician despite being a reindeer. After a set of unusual circumstances, he ate the Hito Hito no Mi (Human Human Fruit), which permitted him the ability to speak, think, and, to a limited extent, change into a human.

Chopper often acts like a child, but he is an upright friend and companion who will try anything to overcome a task given by his team. He also still has distrust in humankind because of events in his youth, where he was treated as a brutal monster. He will often outright insult a human who compliments him while smiling, dancing, and being obviously pleased. He also shows a certain interest in books, but mostly medicine related ones.

Chopper is more or less on a journey to define himself, seeing almost anybody on his crew as a role model. This, combined with his naiveness, often causes him to imitate the other Straw Hats' actions, no matter how obviously silly. Because of this, he often gets involved in the crazy antics of Luffy and Usopp, wholeheartedly believing that what they are doing is sensible and fun. Chopper is one of the most innocent Straw Hat Pirates, and is also very naive, resulting in a tendency to believe anything told to him, even the outrageously fictitious and exaggerated lies of Usopp. Sanji originally wanted to cook Chopper and continues to refer to him as ""the emergency food supply"" to tease him but considers him a friend. Although he is the crew's doctor he wasn't originally hired by Luffy for that purpose. But actually, in Luffy's words, for being ""cool reindeer that can transform."""
Nami;Nami  (ナミ);"Nami ""Nami-san, Nacchan, Cat Burglar"" ";"
Age: 18; 20
Birthdate: July 3, Cancer
Height: 169 cm (5' 6½”)
Sizes: 95-55-85
Affiliation: Straw Hat Pirates (previously; Arlong Pirates)
Position: Navigator
Devil Fruit: none
Bounty:
66,000,000 (previously: 16,000,000)
She is the first member of the Straw Hat Pirates to appear (in the anime), but the third to align herself with the crew, and the fifth to actually join. Possibly one of the best (or even the best) navigators currently sailing the Grand Line, she has the ability to recognize and analyze even the slightest changes in the weather through sheer intuition, thus saving the ship and the crew from the very unstable Grand Line weather on multiple occasions.

Nami has a tattoo on her left shoulder (a homage to her past), where she used to have a shark tattoo for being a member of Arlong's Crew. The new tattoo represents mikan (a fruit commonly know as tangerine) and pinwheels.

She respects Luffy's qualities as a leader, but often gets angry of his irrational thinking and short attention span, even so she trusts him with her life. Despite the fact that Nami has deceived the crew, Luffy still trusts her enough to allow her to safe-keep his precious straw hat. She is almost always the one who gives orders on the ship (much to the Zoro's resentment) because of Luffy's usual lack of common sense. She often comically beats or hits her other crewmates for their nonsense, which occurs quite often. Robin is actually the only person Nami doesn't try to boss, and she referred to her as the only person who understands her, though in a comical fashion. She is very manipulative as well and can even turn an entire conversation in her favor when necessary, often putting on disguises and tricking the enemy. Acting as the ""mother"" of the crew, Nami doesn't understand or approve of the boys' often macho attitudes and principles. These are the only situations where Nami doesn't get the final word.

Nami's two favorite things are money and tangerines. She is greedy and will do anything, aside from abandoning or killing her friends, for money. Due to her past - After having gathered money for 8 years (and even before that often stole things), Nami is naturally accustomed to it, but thinks of her friends as more important. She is very manipulative, and often takes advantage of Sanji for his devotion to her and Usopp to maintain her weapons. Roronoa Zoro tries not to fall for her schemes, but ends up a victim like the rest, usually due to debt and blackmail. Nami also tries to avoid fights, and is one of the less adventurous and brave members of the crew. However, since the invention of her Clima Tact (A weapon that forms weather patterns), she is now seen fighting her own battles instead of becoming the 'easy target', as she doesn't want to be the one being saved anymore."
Usopp;Usopp  (ウソップ);"Usopp ""Sogeking, Sniper King, Usoland, God"" ";"
Name:
Usopp

Age:
17, 19

Birthdate:
April 1, Aries

Height:
174 cm (5'8½"")

Affiliation:
Straw Hat Pirates (previously; Usopp Pirates)

Position:
Sniper

Devil Fruit:
none

Bounty:

200,000,000 (previously: 30,000,000)

Likes:
Being seen as a hero, the Going Merry, Adventure

Dislikes:
Failure

Usopp is a liar and likes to play pranks on his crew members or just goof off with Luffy and Chopper. He loves to tell tall tales to Chopper (who believes him blindly) or anyone who's listening. The other aspect of Usopp besides his lying is his cowardice; he is a very timid person, or so he thinks. In extremely stressful situations, Usopp has proven to be far more courageous than he believes himself to be. He shows great resolve when his friends are threatened or mocked by outsiders. Even though he is a complete coward in battle (except as his alter ego, Sogeking), he is a useful part to the Straw Hat Pirates. He is extremely handy and can fix almost anything. He sometimes sees a role model in Zoro who never seems afraid but always proud. Usopp lacks a bit of self esteem and is often taken advantage of by Nami to make her weapons or repair and improve them - something he is very adept at, having constructed the ingenious weapon ""Clima Tact.""

Usopp will also stand up and fight for not only the well-being of people, but also for their ideals - and the ideals of a pirate, which he holds very high. In battle he normally tries to trick his enemy by telling tales or mischievous lies to deceive them. Despite his lack of physical strength compared to other members of the crew, Usopp seems to be just as resilient as his comrades and this ability to bear loads and loads of damage, is one of his best traits, in addition to his cunning and intelligence, which has saved the Straw Hats on many occasions. Also, Usopp has outstanding marksmanship abilities with his slingshot and is on his way to becoming one of the best snipers in the One Piece world, although his goal in life is to become a proud and strong pirate like his father Yasopp of the Red Haired Pirate Crew."
Brook;Brook  (ブルック);"Brook ""Dead Bones, Soul King"" ";"
Age
: 88; 90

Birthdate
: April 3; Aries

Height
: 2m 66cm (8'8½"")

Affiliation
: Straw Hat Pirates (previously; Rumbar Pirates)

Position
: Musician, Swordsman

Devil Fruit
: Yomi Yomi no Mi (Revive Revive Fruit)

Type
: Paramecia

Bounty
:
83,000,000 (previously: 33,000,000)

Brook known as the ""Gentleman Skeleton"", is a pirate inhabiting the Florian Triangle region of the Grand Line. Although he claims to be a gentleman, and talks in the dialect of one, Brook's etiquette has severely degenerated over the course of his isolation. He has awful table manners: he shouts for food while waiting to be served, asks to swap plates with people who have larger servings than he does and eating so messily his entire face is stained. He is also extremely flatulent after meals, but says ""excuse me"" so as to be ""gentlemanly."" He also loves to tell odd, bone-themed jokes, as well as melodramatic tales, and is very perverted, asking to see Nami and Robin's underwear upon meeting them.

He's a skilled musician (something Luffy has always wanted in his crew since the beginning), fond of playing the violin. Due to his light weight he can not only jump to incredible heights but can run on water by moving his legs furiously. He uses a shikomizue as his main weapon; with it, he is able to make swift iaidō attacks that the enemy cannot notice."
Franky;Franky  (フランキー);"Franky ""Cyborg, Cutty Flam, Bakanky"" ";"
Name:
Franky

Age:
34; 36

Birthdate:
March 9

Zodiac Sign:
Pisces

Height:
225 cm (7'4½"")

Affiliation:
Straw Hat Pirates (previously; Franky Family, Tom's Workers)

Position:
Shipwright

Devil Fruit:
none

Bounty:

94,000,000 (previously: 44,000,000)

Franky is a 34 year old cyborg who is the shipwright of the Straw Hat Pirates and their second most recently recruited member. He first appeared in the Water 7 arc. Franky is one of ""Tom's Workers"", with original name ""Cutty Flam.""

Franky's dream is to build a ship that would travel to the end of the Grand Line. This is the ship that the Straw Hats are currently riding, but his dream is not yet achieved until they make it to the end.

Franky usually acts tough and is quickly angered, but he is also very emotional when it comes to sad tales and often bursts into large tears, or on some occasions, plays a song. His most distinguishable personality trait is his flamboyant attitude. He frequently shouts the word 'SUPER' when he's in a positive mood, or adds it into his speech. He also has a signature pose which he uses very often.

Franky is quick to defend other people (e.g. Franky Family, Nico Robin) and take action if his friends are harmed. He is also quick in making friends, allies, and comrades with even the most unlikely of individuals. Because of this, he is seen as a 'big brother' figure. Monkey D. Luffy bears similar qualities (with the exception of engaging in unnecessary fights) and because of this, despite the disputes the two had in the past, both grew to respect each other during the events of the Enies Lobby Arc."
Jinbe;Jinbe  (ジンベエ);"Jinbe ""Knight of the Sea"" ";"
Jinbe is a whale shark fishman who was the second captain of the Sunny Pirates after Fisher Tiger, and who became a Shichibukai eight years ago. Jinbe's name comes from jinbei-zame (甚平鮫), which means ""whale shark"" in Japanese. His epithet, Kaikyou would normally translate into ""Strait"" or ""Channel"". However since the kanji for it is written as (海侠の) and not (海峡の), the kyou part (侠) of it comes from (任侠), a honorific used when addressing a high ranking yakuza member, thus making his epithet a Japanese pun.


During the Impel Down arc Jinbei refused to go to war with Whitebeard, getting himself locked up in Impel Down in the same cell as Ace. He then teams up with Luffy and the others to rescue Ace, and decided to give up his position as a Shichibukai.
(Source: One Piece Wikia)"
Nanachi;Nanachi  (ナナチ);Nanachi  ;"
Nanachi is so-called ""Final Form""—a survivor of ascension from the sixth level of the Abyss. Madness and/or death are not uncommon results of such an attempt but, due to certain circumstances, Nanachi was able to keep their personality and mental faculties intact, their body, however, was deformed beyond recognition.

Nanachi is presumed to be female, although their sex is never expressly stated and talking about themself Nanachi uses gender-neutral pronoun ""oira.""

Not much is known about Nanachi's past—they were born in the Far North region of Sereni, lost their family and home at a young age and were taken to the Abyss by treachery.

Nanachi looks very young, but their vast knowledge of the physics and ecology of the Abyss seems to suggest they've lived there for quite a while. They also appear to be an accomplished healer with significant surgical skills and extensive knowledge of medicinal plants and such. Most of the time Nanachi is cool and reserved, keeping their distance both emotionally and physically. Their ironic attitude often borders on being sarcastic and even cynical, however behind this mask Nanachi hides a kind and gentle soul capable of deep compassion and selfless devotion.

(Source: Wikipedia)"
Regu;Regu  (レグ);Regu  ;"
Regu is a robot who appears to be a little boy. His actual age, origins and even name are unknown since he can't recall anything about his life before the encounter with Riko. He was named Regu by Riko after a dog she used to have.

Regu's body is extremely durable and resistant to physical damage, it's also way lighter than its size would suggest. The arms could be extended for as far as 40 meters and each of them has a built-in Incinerator relic. These high-powered beam cannons are capable of reducing to ashes almost anything, however, Incinerators are weapons of last resort since even a single shot depletes the body's energy almost completely making Regu lose consciousness for 2 hours. Having an artificial body, Regu might be the only intelligent being completely immune to the Curse of the Abyss, because of that he is sometimes referred to as ""The Aubade"" aka ""The Treasure of the Deep.""

Despite being a formidable fighter Regu is rather shy and unassertive. He blushes easily and often cries when in distress. Unlike Riko, Regu is easily flustered by danger and has to rely on Riko's judgment in difficult situations.

(Source: Wikipedia)"
Riko;Riko  (リコ);Riko  ;"
Riko is the only child of the legendary cave raider Lyza ""The Annihilator."" When Riko was two, her mother went missing during a quest to the bottom of the Abyss, since then Riko lived in Beruchoro Orphanage, studying to become a cave raider herself.

By the age of twelve she's attained the rank of an apprentice which gives her rights to wear a red whistle and explore the shallowest levels of the Abyss. She dreams of attaining the white whistle rank (the highest among cave raiders) and following her mother to the bottom of the Abyss.

Riko is a good-natured and energetic child. She has a quick and inquisitive mind and tries to gather and properly organize all the information available on the subjects that interest her. Riko is resilient and stubborn and although, due to the slight build, she's not much of a brawler, her ability to keep a cool head under pressure and make rational decisions in the heat of battle allows her to successfully tackle most dangers the Abyss has to offer. She's also very good at cooking.

(Source: Wikipedia, CaptainCrackpot)"
Ouzen;Ouzen  (オーゼン);"Ouzen ""The Immovable Lord"" ";"
Ouzen ""The Immovable Lord"" is a holder of the elite White Whistle rank who lives at the Observation Base on the second level of the Abyss where she commands a small team of cave raiders known as ""The Layabouts."" Ouzen was a mentor and a close friend of Riko's mother Lyza.

Ouzen is a peerless fighter—her unique relic ""Thousand Pins"" grants her superhuman strength, speed, and longevity. (Even though Ouzen appears to be young, she attained the rank of a white whistle more than 50 years back.) She is over two meters tall and has a peculiar hairstyle which conceals the scalp deformations caused by the extended exposure to the Curse of the Abyss.

Ouzen has absolute control over her facial expressions, and her actual feelings (or lack thereof) cannot be guessed with any certainty. The reasons behind her actions are unknown as well—Ouzen rarely bothers to explain herself, and even when she does, it's impossible to know whether she's telling the truth or just toying with the audience.

(Source: Wikipedia, edited)"
Bondrewd;Bondrewd  (ボンドルド);"Bondrewd ""Lord of Dawn, The Novel, Delver of the Abyss"" ";"
One of the legendary White Whistles. He's in charge of Idofront, the Forward Operating Base in the fifth layer."
Mitty;Mitty  (ミーティ);Mitty  ;"
Mitty is an amorphous creature that lives with Nanachi on the 4th Layer of The Abyss.


It turns out Mitty used be a regular human girl in the past, and her current appearance is the result of the ascension from the 6th layer. Her condition caused her soul to be imprisoned within the amorphous carcass with all of her feeling and consciousness intact, though she's unable to communicate in any significant way. Her condition also makes her ""immortal,"" where a stab wound or other similar injuries cannot affect her whatsoever. In the Season 1 finale, in order to avoid leaving Mitty all alone, Nanachi ultimately decides to have Regu shoot and kill her with his hand canon so she could finally be at peace.
(Source: Made in Abyss Wiki)"
Lyza;Lyza  (ライザ);"Lyza ""Lord of Annihilation"" ";"
Lyza the Annihilator, is a legendary white whistle who accomplished many great discoveries about the secrets of the Abyss. She is Ouzen's apprentice and Riko's mother. She took in an apprentice named Jiruo.

Ten years before the current storyline, Lyza took a dive into the Abyss and has not returned.


However, a collection of some of her findings in the Abyss, along with a note to Riko, were found by the White Whistle Ouzen."
Maruruk;Maruruk  (マルルク);Maruruk  ;"
Maruruk is a Delver that lives in ""Seeker Camp"" of the 2nd layer of The Abyss alongside the legendary white whistle Ouzen the Immovable. Despite his young age, he's already a Blue Whistle due to being a direct apprentice of a White Whistle.

At some point when he was very young he fell down on an accident and nearly lost his life before being rescued by Ouzen. Following the event, he chose to stay in the abyss and become Ouzen's disciple but after some time his eyes developed an extreme sensitivity to the light, so he never returned to the surface. He's in charge of the telescope on the camp, and is often keeping watch of the surroundings in case a delver shows up so that a gondola can be lowered ahead of time.

Maruruk is a young boy with short blue hair and a rounded face. His feminine traits and maid attire leads people to mistake him for a girl but he's actually male. While the details are not clear, it seems Ouzen was the one that forced him to dress like a maid.

(Source: Made in Abyss Wiki)"
Prushka;Prushka  (プルシュカ);Prushka  ;"
No biography written."
Jiruo;Jiruo  (ジルオ);"Jiruo ""Leader"" ";"
Jiruo is an instructor at Beruchoro Orphanage. Jiruo is a Moon/Purple Whistle, putting him one rank below Black Whistles and allowing him to be an instructor for future cave-raiders. Jiruo's mentor was the legendary White Whistle, Lyza The Annihilator, and has known Riko since she was a toddler.

Jiruo is a competent and strict instructor, never allowing the eager Red Whistle Riko to exceed the depth allowed by her experience. When the children break the rules or behave unruly, Jiruo will knock them on the top of the head to put them back in line. Despite his role as instructor, Jiruo cares for the children at the orphanage and is concerned for their safety, protecting them from the horrors of the Abyss as best as he can."
Endo, Kenji;Kenji Endo (遠藤 健児);"Kenji ""Yabuki Joe"" Endo";"
Endo Kenji grew up in late-1960s/early-1970s Japan, at a time when American phenomena, notably the space race and the era of Woodstock, were resounding around the world. An avid reader of manga who often saw apocalyptic scenarios playing out, he always responded with the cry of ""I would fight!"" During this time, he and his friends made up a scenario for world conquest in order to play heroes.

Flash forward to 1997, a time where Kenji has taken charge of his families liquor shop and turned it into a convenience store. He is now raising the daughter of his sister, Kiriko (who disappeared immediately after leaving her daughter to Kenji), and living a fairly ordinary life. However, after events from the prophecy he made up earlier begin to come true, he learns of an evil organization, led by a masked man called ""Friend"", which is using his plans to conquer the world. As the organization's hold on the government strengthens, he becomes a wanted man and lives on the streets, continuing to (covertly) oppose Friend, partially through terrorism and partially through a protest song he wrote (named ""Bob Lennon"").


He supposedly died from an explosion on the Bloody New Year's Eve. However, he survives, although we do not know of any of his actions prior to meeting Damian Yoshida, guitarist of the band the Eroim Esseims, in 2014. It appears that he may have been suffering from amnesia at this time, as he identified himself as the devil (in a reference to the real life Blues legend of Robert Johnson, said to have influenced rock 'n' roll.) He then continued to wander Japan until the third year of the Friend era (the era in which Friend was declared president of the world), when a sudden surge of memory causes him to recall his identity. While heading to Tokyo, he meets up with old friend Konichi, now a radio DJ who, oblivious to Kenji's true identity, records his song (a version of ""Bob Lennon"" with modified lyrics) and subsequently broadcasts it on radio. As Kenji makes his way past border guards now under Friend's control, using charisma and song, he gains more and more of a following. Once he reaches Tokyo, he confronts Friend and watches him and another old friend, Sada Kiyoshi, die together in an explosion. Finally, he reunites with his old friends and niece, and there the story ends."
